tool_anon,calls,sessions,response_chars_median,response_chars_p90,response_chars_p99,response_chars_max
mcp__p7cbdd1__browser_run_code,17,5,545,2299,2625,2625
mcp__p5ee74d__get_merge_request_discussions,16,6,10314,37218,46622,46622
mcp__pf3c76d__get_issue_comments,16,8,219,219,219,219
mcp__p67cee4__get_pipeline,15,5,390,6861,7135,7135
mcp__p3a04ae__get_issues,15,6,8958,18605,38273,40818
mcp__p67cee4__get_merge_request_pipeline,13,8,913,4735,5785,5798
mcp__p5ee74d__get_issue_relations,10,5,256,256,256,256
mcp__p5ee74d__get_project_info,10,5,1480,1480,1480,1480
mcp__p67cee4__get_merge_request_diffs,9,5,14925,30820,46990,48787
mcp__p67cee4__get_chat_messages,7,7,12337,27290,30006,30308
mcp__pd8e750__create_merge_request,6,5,3533,4817,5256,5305
mcp__p3a04ae__create_epic,5,5,1728,1997,2159,2177
