dataset_type,n_items,budget_tokens,strategy,p1,mean_tokens_used,mean_items_included,trials
power_law,20,8000,random,0.5765,7905.9,11.54,2000
power_law,20,8000,default,0.5775,8000.0,11.59,2000
power_law,20,8000,reversed,0.5705,7932.7,11.60,2000
power_law,20,8000,element_count,0.5930,7936.6,11.60,2000
power_law,20,8000,priority,0.9325,7934.3,11.58,2000
power_law,50,1000,random,0.0210,869.0,1.20,2000
power_law,50,1000,default,0.0355,979.5,1.85,2000
power_law,50,1000,reversed,0.0260,899.7,1.35,2000
power_law,50,1000,element_count,0.0230,902.4,1.37,2000
power_law,50,1000,priority,0.0800,861.4,1.23,2000
power_law,50,2000,random,0.0610,1972.6,3.00,2000
power_law,50,2000,default,0.0595,2000.0,3.00,2000
power_law,50,2000,reversed,0.0485,1980.9,3.00,2000
power_law,50,2000,element_count,0.0590,1980.5,3.00,2000
power_law,50,2000,priority,0.2155,1965.1,3.00,2000
power_law,50,4000,random,0.1170,3962.1,5.81,2000
power_law,50,4000,default,0.1075,4000.0,5.92,2000
power_law,50,4000,reversed,0.1145,3981.4,5.85,2000
power_law,50,4000,element_count,0.1115,3980.6,5.86,2000
power_law,50,4000,priority,0.3710,3968.4,5.86,2000
power_law,50,8000,random,0.2345,7967.1,11.66,2000
power_law,50,8000,default,0.2270,8000.0,11.59,2000
power_law,50,8000,reversed,0.2365,7980.5,11.65,2000
power_law,50,8000,element_count,0.2190,7981.5,11.66,2000
power_law,50,8000,priority,0.5890,7975.2,11.67,2000
power_law,100,1000,random,0.0140,730.0,1.09,2000
power_law,100,1000,default,0.0180,965.8,1.99,2000
power_law,100,1000,reversed,0.0110,729.5,1.09,2000
power_law,100,1000,element_count,0.0140,729.7,1.09,2000
power_law,100,1000,priority,0.0495,731.1,1.09,2000
power_law,100,2000,random,0.0320,1834.4,2.79,2000
power_law,100,2000,default,0.0320,1933.3,3.95,2000
power_law,100,2000,reversed,0.0255,1831.8,2.79,2000
power_law,100,2000,element_count,0.0285,1833.6,2.79,2000
power_law,100,2000,priority,0.1290,1834.1,2.79,2000
power_law,100,4000,random,0.0635,3809.9,5.65,2000
